scenario_id,scenario_label,policy,trades,average_effective_trader_fee_bps,rejected_reference_attempts,expired_settlements,reactive_callbacks,modeled_callback_gas_budget,volume_quote,upfront_fee_quote,retained_fee_quote,rebate_quote,lp_protection_quote,adverse_selection_proxy_quote,lp_net_after_proxy_quote
benign_random_flow,Benign random flow,fixed,128,30.0000,0,0,0,0,336267.000000,1008.801000,1008.801000,0.000000,0.000000,55.326541,953.474459
benign_random_flow,Benign random flow,volatility,128,37.4930,0,0,0,0,336267.000000,1260.767323,1260.767323,0.000000,0.000000,55.326541,1205.440782
benign_random_flow,Benign random flow,markout,128,26.7992,0,0,256,102400000,336267.000000,2286.615600,901.168316,1385.447284,295.887716,55.326541,845.841775
informed_flow,Informed flow,fixed,128,30.0000,0,0,0,0,324893.000000,974.679000,974.679000,0.000000,0.000000,945.343024,29.335976
informed_flow,Informed flow,volatility,128,44.8412,0,0,0,0,324893.000000,1456.858735,1456.858735,0.000000,0.000000,945.343024,511.515711
informed_flow,Informed flow,markout,128,64.8227,0,0,256,102400000,324893.000000,2209.272400,2106.045209,103.227191,1521.237809,945.343024,1160.702185
inventory_improving_flow,Inventory-improving flow,fixed,128,30.0000,0,0,0,0,326556.000000,979.668000,979.668000,0.000000,0.000000,0.000000,979.668000
inventory_improving_flow,Inventory-improving flow,volatility,128,40.7959,0,0,0,0,326556.000000,1332.213538,1332.213538,0.000000,0.000000,0.000000,1332.213538
inventory_improving_flow,Inventory-improving flow,markout,128,18.0000,0,0,256,102400000,326556.000000,2220.580800,587.800800,1632.780000,0.000000,0.000000,587.800800
mixed_low_volatility,"Mixed, low volatility",fixed,128,30.0000,0,0,0,0,318349.000000,955.047000,955.047000,0.000000,0.000000,284.572311,670.474689
mixed_low_volatility,"Mixed, low volatility",volatility,128,37.4842,0,0,0,0,318349.000000,1193.305133,1193.305133,0.000000,0.000000,284.572311,908.732822
mixed_low_volatility,"Mixed, low volatility",markout,128,36.3416,0,0,256,102400000,318349.000000,2164.773200,1156.930031,1007.843169,583.901831,284.572311,872.357720
mixed_high_volatility,"Mixed, high volatility",fixed,128,30.0000,0,0,0,0,359951.000000,1079.853000,1079.853000,0.000000,0.000000,481.287725,598.565275
mixed_high_volatility,"Mixed, high volatility",volatility,128,74.2438,0,0,0,0,359951.000000,2672.411334,2672.411334,0.000000,0.000000,481.287725,2191.123609
mixed_high_volatility,"Mixed, high volatility",markout,128,35.8642,0,0,256,102400000,359951.000000,2447.666800,1290.937090,1156.729710,643.025290,481.287725,809.649365
stale_manipulated_reference,Stale/manipulated reference,fixed,128,30.0000,0,0,0,0,333264.000000,999.792000,999.792000,0.000000,0.000000,342.317283,657.474717
stale_manipulated_reference,Stale/manipulated reference,volatility,128,53.6160,0,0,0,0,333264.000000,1786.828449,1786.828449,0.000000,0.000000,342.317283,1444.511166
stale_manipulated_reference,Stale/manipulated reference,markout,128,24.1734,63,63,256,102400000,333264.000000,2266.195200,805.613840,1460.581360,205.738640,342.317283,463.296557
